,data,variavel,grupo,valor
63101,2020-01-01,IPCA peso mensal,1104003.Açúcar refinado,0.44
63102,2020-01-01,IPCA peso mensal,1104004.Açúcar cristal,2.38
63103,2020-01-01,IPCA peso mensal,1104018.Balas,-1.22
63104,2020-01-01,IPCA peso mensal,1104023.Chocolate em barra e bombom,0.82
63105,2020-01-01,IPCA peso mensal,1104032.Sorvete,-0.18
63106,2020-01-01,IPCA peso mensal,1104052.Chocolate e achocolatado em pó,0.88
63107,2020-01-01,IPCA peso mensal,1104060.Doce de frutas em pasta,-0.51
63108,2020-01-01,IPCA peso mensal,1104067.Açúcar demerara,0.17
63109,2020-01-01,IPCA peso mensal,1105.Hortaliças e verduras,2.52
63110,2020-01-01,IPCA peso mensal,1105001.Alface,3.24
63111,2020-01-01,IPCA peso mensal,1105004.Coentro,2.26
63112,2020-01-01,IPCA peso mensal,1105005.Couve,2.32
63113,2020-01-01,IPCA peso mensal,1105006.Couve-flor,7.13
63114,2020-01-01,IPCA peso mensal,1105010.Repolho,4.37
63115,2020-01-01,IPCA peso mensal,1105012.Cheiro-verde,1.72
63116,2020-01-01,IPCA peso mensal,1105019.Brócolis,0.03
63117,2020-01-01,IPCA peso mensal,1106.Frutas,1.87
63118,2020-01-01,IPCA peso mensal,1106001.Banana-da-terra,2.19
63119,2020-01-01,IPCA peso mensal,1106003.Abacaxi,-1.19
63120,2020-01-01,IPCA peso mensal,1106004.Abacate,5.4
63121,2020-01-01,IPCA peso mensal,1106005.Banana - d'água,-1.9
63122,2020-01-01,IPCA peso mensal,1106006.Banana - maçã,10.47
63123,2020-01-01,IPCA peso mensal,1106008.Banana - prata,7.87
63124,2020-01-01,IPCA peso mensal,1106011.Laranja - baía,-8.07
63125,2020-01-01,IPCA peso mensal,1106012.Laranja - lima,6.15
63126,2020-01-01,IPCA peso mensal,1106015.Limão,-30.35
63127,2020-01-01,IPCA peso mensal,1106017.Maçã,2.95
63128,2020-01-01,IPCA peso mensal,1106018.Mamão,-2.2
63129,2020-01-01,IPCA peso mensal,1106019.Manga,3.14
63130,2020-01-01,IPCA peso mensal,1106020.Maracujá,24.56
63131,2020-01-01,IPCA peso mensal,1106021.Melancia,-3.24
63132,2020-01-01,IPCA peso mensal,1106022.Melão,-2.89
63133,2020-01-01,IPCA peso mensal,1106023.Pera,5.38
63134,2020-01-01,IPCA peso mensal,1106027.Tangerina,1.37
63135,2020-01-01,IPCA peso mensal,1106028.Uva,2.88
63136,2020-01-01,IPCA peso mensal,1106039.Laranja - pera,6.26
63137,2020-01-01,IPCA peso mensal,1106051.Morango,-1.57
63138,2020-01-01,IPCA peso mensal,1106084.Goiaba,4.05
63139,2020-01-01,IPCA peso mensal,1107.Carnes,-4.03
63140,2020-01-01,IPCA peso mensal,1107009.Fígado,1.76
63141,2020-01-01,IPCA peso mensal,1107018.Carne de porco,1.66
63142,2020-01-01,IPCA peso mensal,1107031.Carne de carneiro,-2.73
63143,2020-01-01,IPCA peso mensal,1107081.Cupim,1.43
63144,2020-01-01,IPCA peso mensal,1107084.Contrafilé,-5.09
63145,2020-01-01,IPCA peso mensal,1107085.Filé-mignon,-9.42
63146,2020-01-01,IPCA peso mensal,1107087.Chã de dentro,-6.83
63147,2020-01-01,IPCA peso mensal,1107088.Alcatra,-5.89
63148,2020-01-01,IPCA peso mensal,1107089.Patinho,-8.32
63149,2020-01-01,IPCA peso mensal,1107090.Lagarto redondo,-3.94
63150,2020-01-01,IPCA peso mensal,1107091.Lagarto comum,-4.34
63151,2020-01-01,IPCA peso mensal,1107093.Músculo,-1.89
63152,2020-01-01,IPCA peso mensal,1107094.Pá,-4.71
63153,2020-01-01,IPCA peso mensal,1107095.Acém,-6.52
63154,2020-01-01,IPCA peso mensal,1107096.Peito,0.08
63155,2020-01-01,IPCA peso mensal,1107097.Capa de filé,1.45
63156,2020-01-01,IPCA peso mensal,1107099.Costela,-1.31
63157,2020-01-01,IPCA peso mensal,1107208.Picanha,-1.51
63158,2020-01-01,IPCA peso mensal,1108.Pescados,3.39
63159,2020-01-01,IPCA peso mensal,1108002.Peixe - anchova,2.51
63160,2020-01-01,IPCA peso mensal,1108004.Peixe - corvina,9.24
63161,2020-01-01,IPCA peso mensal,1108011.Peixe - tainha,2.5
63162,2020-01-01,IPCA peso mensal,1108012.Peixe - sardinha,0.59
63163,2020-01-01,IPCA peso mensal,1108013.Camarão,2.2
63164,2020-01-01,IPCA peso mensal,1108019.Peixe - cavala,3.17
63165,2020-01-01,IPCA peso mensal,1108029.Peixe - cação,4.61
63166,2020-01-01,IPCA peso mensal,1108031.Peixe - merluza,1.27
63167,2020-01-01,IPCA peso mensal,1108032.Peixe - serra,-3.03
63168,2020-01-01,IPCA peso mensal,1108038.Peixe - pescada,6.3
63169,2020-01-01,IPCA peso mensal,1108045.Caranguejo,5.06
63170,2020-01-01,IPCA peso mensal,1108049.Peixe - castanha,2.47
63171,2020-01-01,IPCA peso mensal,1108052.Peixe - palombeta,-0.23
63172,2020-01-01,IPCA peso mensal,1108072.Peixe - curimatã,1.25
63173,2020-01-01,IPCA peso mensal,1108075.Peixe - salmão,-1.87
63174,2020-01-01,IPCA peso mensal,1108080.Peixe - tilápia,1.72
63175,2020-01-01,IPCA peso mensal,1108087.Peixe - tambaqui,-0.68
63176,2020-01-01,IPCA peso mensal,1108088.Peixe - dourada,11.74
63177,2020-01-01,IPCA peso mensal,1108092.Peixe - filhote,24.76
63178,2020-01-01,IPCA peso mensal,1108096.Peixe - peroá,9.4
63179,2020-01-01,IPCA peso mensal,1108112.Peixe - pintado,0.04
63180,2020-01-01,IPCA peso mensal,1108125.Peixe - aruanã,-0.45
63181,2020-01-01,IPCA peso mensal,1109.Carnes e peixes industrializados,1.64
63182,2020-01-01,IPCA peso mensal,1109002.Presunto,2.03
63183,2020-01-01,IPCA peso mensal,1109007.Salsicha,-0.17
63184,2020-01-01,IPCA peso mensal,1109008.Linguiça,1.41
63185,2020-01-01,IPCA peso mensal,1109010.Mortadela,0.81
63186,2020-01-01,IPCA peso mensal,1109012.Salame,2.71
63187,2020-01-01,IPCA peso mensal,1109023.Bacalhau,1.28
63188,2020-01-01,IPCA peso mensal,1109056.Carne-seca e de sol,3.13
63189,2020-01-01,IPCA peso mensal,1109058.Carne de porco salgada e defumada,0.13
63190,2020-01-01,IPCA peso mensal,1110.Aves e ovos,2.06
63191,2020-01-01,IPCA peso mensal,1110009.Frango inteiro,2.02
63192,2020-01-01,IPCA peso mensal,1110010.Frango em pedaços,2.56
63193,2020-01-01,IPCA peso mensal,1110044.Ovo de galinha,0.87
63194,2020-01-01,IPCA peso mensal,1111.Leites e derivados,-0.27
63195,2020-01-01,IPCA peso mensal,1111004.Leite longa vida,-0.38
63196,2020-01-01,IPCA peso mensal,1111008.Leite condensado,0.44
63197,2020-01-01,IPCA peso mensal,1111009.Leite em pó,0.51
63198,2020-01-01,IPCA peso mensal,1111011.Queijo,-0.61
63199,2020-01-01,IPCA peso mensal,1111019.Iogurte e bebidas lácteas,0.07
63200,2020-01-01,IPCA peso mensal,1111021.Requeijão,1.47
63201,2020-01-01,IPCA peso mensal,1111031.Manteiga,-0.95
63202,2020-01-01,IPCA peso mensal,1111038.Leite fermentado,-1.74
63203,2020-01-01,IPCA peso mensal,1112.Panificados,0.77
63204,2020-01-01,IPCA peso mensal,1112003.Biscoito,0.59
63205,2020-01-01,IPCA peso mensal,1112015.Pão francês,1.24
63206,2020-01-01,IPCA peso mensal,1112017.Pão doce,-1.27
63207,2020-01-01,IPCA peso mensal,1112018.Pão de forma,-0.61
63208,2020-01-01,IPCA peso mensal,1112019.Bolo,0.71
63209,2020-01-01,IPCA peso mensal,1112025.Pão de queijo,1.46
63210,2020-01-01,IPCA peso mensal,1113.Óleos e gorduras,1.25
63211,2020-01-01,IPCA peso mensal,1113013.Óleo de soja,2.74
63212,2020-01-01,IPCA peso mensal,1113014.Azeite de oliva,-1.19
63213,2020-01-01,IPCA peso mensal,1113040.Margarina,-0.02
63214,2020-01-01,IPCA peso mensal,1114.Bebidas e infusões,0.12
63215,2020-01-01,IPCA peso mensal,1114001.Suco de frutas,0.74
63216,2020-01-01,IPCA peso mensal,1114003.Polpa de fruta (congelada),-0.62
63217,2020-01-01,IPCA peso mensal,1114004.Açaí (emulsão),13.37
63218,2020-01-01,IPCA peso mensal,1114022.Café moído,-0.23
63219,2020-01-01,IPCA peso mensal,1114023.Café solúvel,1.11
63220,2020-01-01,IPCA peso mensal,1114083.Refrigerante e água mineral,-0.57
63221,2020-01-01,IPCA peso mensal,1114084.Cerveja,-0.49
63222,2020-01-01,IPCA peso mensal,1114085.Outras bebidas alcoólicas,-0.18
63223,2020-01-01,IPCA peso mensal,1114087.Vinho,-0.27
63224,2020-01-01,IPCA peso mensal,1114090.Suco em pó,-0.63
63225,2020-01-01,IPCA peso mensal,1114091.Chá mate (erva mate),0.02
63226,2020-01-01,IPCA peso mensal,1115.Enlatados e conservas,1.35
63227,2020-01-01,IPCA peso mensal,1115013.Alimento infantil,2.6
63228,2020-01-01,IPCA peso mensal,1115016.Palmito em conserva,0.53
63229,2020-01-01,IPCA peso mensal,1115017.Pepino em conserva,-0.08
63230,2020-01-01,IPCA peso mensal,1115039.Sardinha em conserva,1.77
63231,2020-01-01,IPCA peso mensal,1115050.Salsicha em conserva,-1.46
63232,2020-01-01,IPCA peso mensal,1115056.Sopa desidratada,0.11
63233,2020-01-01,IPCA peso mensal,1115057.Azeitona,0.86
63234,2020-01-01,IPCA peso mensal,1115058.Milho-verde em conserva,3.31
63235,2020-01-01,IPCA peso mensal,1115075.Atum em conserva,0.0
63236,2020-01-01,IPCA peso mensal,1116.Sal e condimentos,0.59
63237,2020-01-01,IPCA peso mensal,1116001.Leite de coco,2.51
63238,2020-01-01,IPCA peso mensal,1116005.Atomatado,0.19
63239,2020-01-01,IPCA peso mensal,1116010.Alho,1.36
63240,2020-01-01,IPCA peso mensal,1116013.Sal,-0.04
63241,2020-01-01,IPCA peso mensal,1116022.Colorau,0.52
63242,2020-01-01,IPCA peso mensal,1116023.Caldo de tucupi,0.97
63243,2020-01-01,IPCA peso mensal,1116026.Fermento,-0.17
63244,2020-01-01,IPCA peso mensal,1116033.Maionese,0.78
63245,2020-01-01,IPCA peso mensal,1116041.Vinagre,0.5
63246,2020-01-01,IPCA peso mensal,1116048.Caldo concentrado,-0.57
63247,2020-01-01,IPCA peso mensal,1116071.Tempero misto,-0.1
63248,2020-01-01,IPCA peso mensal,12.Alimentação fora do domicílio,0.82
63249,2020-01-01,IPCA peso mensal,1201.Alimentação fora do domicílio,0.82
63250,2020-01-01,IPCA peso mensal,1201001.Refeição,1.05
63251,2020-01-01,IPCA peso mensal,1201003.Lanche,0.42
63252,2020-01-01,IPCA peso mensal,1201007.Refrigerante e água mineral,0.06
63253,2020-01-01,IPCA peso mensal,1201009.Cafezinho,-0.43
63254,2020-01-01,IPCA peso mensal,1201048.Cerveja,1.05
63255,2020-01-01,IPCA peso mensal,1201051.Outras bebidas alcoólicas,-0.12
63256,2020-01-01,IPCA peso mensal,1201052.Vinho,-2.04
63257,2020-01-01,IPCA peso mensal,1201061.Doces,0.47
63258,2020-01-01,IPCA peso mensal,1201088.Sorvete,-0.56
63259,2020-01-01,IPCA peso mensal,2.Habitação,0.55
63260,2020-01-01,IPCA peso mensal,21.Encargos e manutenção,0.68
63261,2020-01-01,IPCA peso mensal,2101.Aluguel e taxas,0.76
63262,2020-01-01,IPCA peso mensal,2101001.Aluguel residencial,0.61
63263,2020-01-01,IPCA peso mensal,2101002.Condomínio,1.39
63264,2020-01-01,IPCA peso mensal,2101004.Taxa de água e esgoto,0.3
63265,2020-01-01,IPCA peso mensal,2101012.Mudança,0.0
63266,2020-01-01,IPCA peso mensal,2103.Reparos,0.44
63267,2020-01-01,IPCA peso mensal,2103005.Ferragens,-0.33
63268,2020-01-01,IPCA peso mensal,2103008.Material de eletricidade,-0.52
63269,2020-01-01,IPCA peso mensal,2103012.Vidro,3.39
63270,2020-01-01,IPCA peso mensal,2103014.Tinta,0.44
63271,2020-01-01,IPCA peso mensal,2103032.Revestimento de piso e parede,1.13
63272,2020-01-01,IPCA peso mensal,2103038.Madeira e taco,-0.51
63273,2020-01-01,IPCA peso mensal,2103039.Cimento,1.36
63274,2020-01-01,IPCA peso mensal,2103040.Tijolo,1.29
63275,2020-01-01,IPCA peso mensal,2103041.Material hidráulico,1.17
63276,2020-01-01,IPCA peso mensal,2103042.Mão de obra,0.21
63277,2020-01-01,IPCA peso mensal,2103048.Areia,0.66
63278,2020-01-01,IPCA peso mensal,2103049.Pedras,-1.86
63279,2020-01-01,IPCA peso mensal,2103055.Telha,-0.49
63280,2020-01-01,IPCA peso mensal,2104.Artigos de limpeza,0.23
63281,2020-01-01,IPCA peso mensal,2104003.Saco para lixo,-0.91
63282,2020-01-01,IPCA peso mensal,2104005.Água sanitária,0.9
63283,2020-01-01,IPCA peso mensal,2104008.Detergente,-0.08
63284,2020-01-01,IPCA peso mensal,2104009.Sabão em pó,0.35
63285,2020-01-01,IPCA peso mensal,2104012.Desinfetante,-1.21
63286,2020-01-01,IPCA peso mensal,2104015.Sabão em barra,-0.02
63287,2020-01-01,IPCA peso mensal,2104016.Esponja de limpeza,-1.74
63288,2020-01-01,IPCA peso mensal,2104019.Sabão líquido,-2.42
63289,2020-01-01,IPCA peso mensal,2104020.Limpador multiuso,-1.39
63290,2020-01-01,IPCA peso mensal,2104041.Papel toalha,-1.93
63291,2020-01-01,IPCA peso mensal,2104085.Amaciante e alvejante,1.15
63292,2020-01-01,IPCA peso mensal,22.Combustíveis e energia,0.31
63293,2020-01-01,IPCA peso mensal,2201.Combustíveis (domésticos),0.84
63294,2020-01-01,IPCA peso mensal,2201003.Carvão vegetal,-1.13
63295,2020-01-01,IPCA peso mensal,2201004.Gás de botijão,0.87
63296,2020-01-01,IPCA peso mensal,2201005.Gás encanado,0.64
63297,2020-01-01,IPCA peso mensal,2202.Energia elétrica residencial,0.16
63298,2020-01-01,IPCA peso mensal,2202003.Energia elétrica residencial,0.16
63299,2020-01-01,IPCA peso mensal,3.Artigos de residência,-0.07
63300,2020-01-01,IPCA peso mensal,31.Móveis e utensílios,-0.19
63301,2020-01-01,IPCA peso mensal,3101.Mobiliário,-0.39
63302,2020-01-01,IPCA peso mensal,3101002.Móvel para sala,-1.24
63303,2020-01-01,IPCA peso mensal,3101003.Móvel para quarto,0.26
63304,2020-01-01,IPCA peso mensal,3101015.Móvel para copa e cozinha,-0.22
63305,2020-01-01,IPCA peso mensal,3101016.Móvel infantil,-1.84
63306,2020-01-01,IPCA peso mensal,3101017.Colchão,-0.84
63307,2020-01-01,IPCA peso mensal,3102.Utensílios e enfeites,0.28
63308,2020-01-01,IPCA peso mensal,3102001.Artigos de iluminação,0.08
63309,2020-01-01,IPCA peso mensal,3102005.Tapete,-0.62
63310,2020-01-01,IPCA peso mensal,3102006.Cortina,0.41
63311,2020-01-01,IPCA peso mensal,3102007.Utensílios de metal,0.82
63312,2020-01-01,IPCA peso mensal,3102009.Utensílios de vidro e louça,-0.4
63313,2020-01-01,IPCA peso mensal,3102010.Utensílios de plástico,-0.54
63314,2020-01-01,IPCA peso mensal,3102035.Flores naturais,-0.62
63315,2020-01-01,IPCA peso mensal,3102337.Utensílios para bebê,1.5
63316,2020-01-01,IPCA peso mensal,"3103.Cama, mesa e banho",-0.23
63317,2020-01-01,IPCA peso mensal,3103001.Roupa de cama,-0.21
63318,2020-01-01,IPCA peso mensal,3103003.Roupa de banho,-0.8
63319,2020-01-01,IPCA peso mensal,32.Aparelhos eletroeletrônicos,0.02
63320,2020-01-01,IPCA peso mensal,3201.Eletrodomésticos e equipamentos,-0.38
63321,2020-01-01,IPCA peso mensal,3201001.Refrigerador,-0.63
63322,2020-01-01,IPCA peso mensal,3201002.Ar-condicionado,-0.88
63323,2020-01-01,IPCA peso mensal,3201006.Máquina de lavar roupa,-1.44
63324,2020-01-01,IPCA peso mensal,3201013.Ventilador,0.26
63325,2020-01-01,IPCA peso mensal,3201021.Fogão,1.87
63326,2020-01-01,IPCA peso mensal,3201050.Chuveiro elétrico,0.64
63327,2020-01-01,IPCA peso mensal,"3202.Tv, som e informática",0.5
63328,2020-01-01,IPCA peso mensal,3202001.Televisor,1.35
63329,2020-01-01,IPCA peso mensal,3202003.Aparelho de som,-0.87
63330,2020-01-01,IPCA peso mensal,3202008.Videogame (console),2.33
63331,2020-01-01,IPCA peso mensal,3202028.Computador pessoal,-0.72
63332,2020-01-01,IPCA peso mensal,33.Consertos e manutenção,0.15
63333,2020-01-01,IPCA peso mensal,3301.Consertos e manutenção,0.15
63334,2020-01-01,IPCA peso mensal,3301002.Conserto de refrigerador,0.58
63335,2020-01-01,IPCA peso mensal,3301006.Conserto de televisor,-0.6
63336,2020-01-01,IPCA peso mensal,3301015.Conserto de máquina de lavar roupa,1.03
63337,2020-01-01,IPCA peso mensal,3301022.Reforma de estofado,-0.01
63338,2020-01-01,IPCA peso mensal,3301088.Conserto de aparelho celular,-0.07
63339,2020-01-01,IPCA peso mensal,3301130.Conserto de bicicleta,0.21
63340,2020-01-01,IPCA peso mensal,4.Vestuário,-0.48
63341,2020-01-01,IPCA peso mensal,41.Roupas,-0.64
63342,2020-01-01,IPCA peso mensal,4101.Roupa masculina,-0.36
63343,2020-01-01,IPCA peso mensal,4101002.Calça comprida masculina,0.8
63344,2020-01-01,IPCA peso mensal,4101005.Agasalho masculino,-1.38
63345,2020-01-01,IPCA peso mensal,4101006.Bermuda/short masculino,0.12
63346,2020-01-01,IPCA peso mensal,4101008.Cueca,-0.98
63347,2020-01-01,IPCA peso mensal,4101009.Camisa/camiseta masculina,-1.06
63348,2020-01-01,IPCA peso mensal,4102.Roupa feminina,-1.19
63349,2020-01-01,IPCA peso mensal,4102002.Calça comprida feminina,-2.13
63350,2020-01-01,IPCA peso mensal,4102003.Agasalho feminino,-1.07
63351,2020-01-01,IPCA peso mensal,4102004.Saia,-0.49
63352,2020-01-01,IPCA peso mensal,4102005.Vestido,-0.37
63353,2020-01-01,IPCA peso mensal,4102008.Blusa,-1.24
63354,2020-01-01,IPCA peso mensal,4102010.Lingerie,-0.82
63355,2020-01-01,IPCA peso mensal,4102013.Bermuda/short feminino,-0.67
63356,2020-01-01,IPCA peso mensal,4103.Roupa infantil,0.08
63357,2020-01-01,IPCA peso mensal,4103001.Uniforme escolar,1.58
63358,2020-01-01,IPCA peso mensal,4103002.Calça comprida infantil,-0.89
63359,2020-01-01,IPCA peso mensal,4103005.Agasalho infantil,-0.07
63360,2020-01-01,IPCA peso mensal,4103007.Vestido infantil,-0.69
63361,2020-01-01,IPCA peso mensal,4103008.Bermuda/short infantil,0.1
63362,2020-01-01,IPCA peso mensal,4103011.Camisa/camiseta infantil,0.05
63363,2020-01-01,IPCA peso mensal,4103031.Conjunto infantil,0.06
63364,2020-01-01,IPCA peso mensal,42.Calçados e acessórios,-0.26
63365,2020-01-01,IPCA peso mensal,4201.Calçados e acessórios,-0.26
63366,2020-01-01,IPCA peso mensal,4201002.Sapato masculino,-0.71
63367,2020-01-01,IPCA peso mensal,4201003.Sapato feminino,-0.48
63368,2020-01-01,IPCA peso mensal,4201004.Sapato infantil,-1.79
63369,2020-01-01,IPCA peso mensal,4201015.Bolsa,-0.06
63370,2020-01-01,IPCA peso mensal,4201040.Mochila,-0.96
63371,2020-01-01,IPCA peso mensal,4201063.Tênis,0.18
63372,2020-01-01,IPCA peso mensal,4201098.Sandália/chinelo,-0.41
63373,2020-01-01,IPCA peso mensal,43.Joias e bijuterias,0.69
63374,2020-01-01,IPCA peso mensal,4301.Joias e bijuterias,0.69
63375,2020-01-01,IPCA peso mensal,4301001.Bijuteria,0.38
63376,2020-01-01,IPCA peso mensal,4301002.Joia,1.4
63377,2020-01-01,IPCA peso mensal,4301004.Relógio de pulso,-1.06
63378,2020-01-01,IPCA peso mensal,44.Tecidos e armarinho,-0.18
63379,2020-01-01,IPCA peso mensal,4401.Tecidos e armarinho,-0.18
63380,2020-01-01,IPCA peso mensal,4401001.Tecido,-0.35
63381,2020-01-01,IPCA peso mensal,4401002.Artigos de armarinho,0.6
63382,2020-01-01,IPCA peso mensal,5.Transportes,0.32
63383,2020-01-01,IPCA peso mensal,51.Transportes,0.32
63384,2020-01-01,IPCA peso mensal,5101.Transporte público,-0.79
63385,2020-01-01,IPCA peso mensal,5101001.Ônibus urbano,0.78
63386,2020-01-01,IPCA peso mensal,5101002.Táxi,0.4
63387,2020-01-01,IPCA peso mensal,5101004.Trem,1.31
63388,2020-01-01,IPCA peso mensal,5101006.Ônibus intermunicipal,1.18
63389,2020-01-01,IPCA peso mensal,5101007.Ônibus interestadual,0.33
63390,2020-01-01,IPCA peso mensal,5101010.Passagem aérea,-6.75
63391,2020-01-01,IPCA peso mensal,5101011.Metrô,1.74
63392,2020-01-01,IPCA peso mensal,5101026.Transporte escolar,1.37
63393,2020-01-01,IPCA peso mensal,5101051.Transporte por aplicativo,-0.54
63394,2020-01-01,IPCA peso mensal,5101053.Integração transporte público,2.03
63395,2020-01-01,IPCA peso mensal,5102.Veículo próprio,0.24
63396,2020-01-01,IPCA peso mensal,5102001.Automóvel novo,0.58
63397,2020-01-01,IPCA peso mensal,5102004.Emplacamento e licença,0.3
63398,2020-01-01,IPCA peso mensal,5102005.Seguro voluntário de veículo,0.53
63399,2020-01-01,IPCA peso mensal,5102006.Multa,0.0
63400,2020-01-01,IPCA peso mensal,5102007.Óleo lubrificante,0.6
63401,2020-01-01,IPCA peso mensal,5102009.Acessórios e peças,-0.12
63402,2020-01-01,IPCA peso mensal,5102010.Pneu,0.73
63403,2020-01-01,IPCA peso mensal,5102011.Conserto de automóvel,0.05
63404,2020-01-01,IPCA peso mensal,5102013.Estacionamento,-1.03
63405,2020-01-01,IPCA peso mensal,5102015.Pedágio,0.1
63406,2020-01-01,IPCA peso mensal,5102020.Automóvel usado,-0.46
63407,2020-01-01,IPCA peso mensal,5102037.Pintura de veículo,0.23
63408,2020-01-01,IPCA peso mensal,5102051.Aluguel de veículo,-1.16
63409,2020-01-01,IPCA peso mensal,5102053.Motocicleta,0.79
63410,2020-01-01,IPCA peso mensal,5104.Combustíveis (veículos),1.08
63411,2020-01-01,IPCA peso mensal,5104001.Gasolina,0.89
63412,2020-01-01,IPCA peso mensal,5104002.Etanol,2.59
63413,2020-01-01,IPCA peso mensal,5104003.Óleo diesel,1.34
63414,2020-01-01,IPCA peso mensal,5104005.Gás veicular,0.26
63415,2020-01-01,IPCA peso mensal,6.Saúde e cuidados pessoais,-0.32
63416,2020-01-01,IPCA peso mensal,61.Produtos farmacêuticos e óticos,0.25
63417,2020-01-01,IPCA peso mensal,6101.Produtos farmacêuticos,0.33
63418,2020-01-01,IPCA peso mensal,6101001.Anti-infeccioso e antibiótico,0.48
63419,2020-01-01,IPCA peso mensal,6101002.Analgésico e antitérmico,-0.03
63420,2020-01-01,IPCA peso mensal,6101003.Anti-inflamatório e antirreumático,-0.29
63421,2020-01-01,IPCA peso mensal,6101004.Antigripal e antitussígeno,0.32
63422,2020-01-01,IPCA peso mensal,6101006.Dermatológico,0.61
63423,2020-01-01,IPCA peso mensal,6101007.Antialérgico e broncodilatador,0.2
63424,2020-01-01,IPCA peso mensal,6101009.Gastroprotetor,0.58
63425,2020-01-01,IPCA peso mensal,6101010.Vitamina e fortificante,1.31
63426,2020-01-01,IPCA peso mensal,6101011.Hormonal,0.15
63427,2020-01-01,IPCA peso mensal,6101013.Psicotrópico e anorexígeno,0.28
63428,2020-01-01,IPCA peso mensal,6101014.Hipotensor e hipocolesterolêmico,0.47
63429,2020-01-01,IPCA peso mensal,6101051.Oftalmológico,0.43
63430,2020-01-01,IPCA peso mensal,6101064.Antidiabético,0.58
63431,2020-01-01,IPCA peso mensal,6101148.Neurológico,-0.22
63432,2020-01-01,IPCA peso mensal,6102.Produtos óticos,-0.73
63433,2020-01-01,IPCA peso mensal,6102012.Óculos de grau,-0.73
63434,2020-01-01,IPCA peso mensal,62.Serviços de saúde,0.5
63435,2020-01-01,IPCA peso mensal,6201.Serviços médicos e dentários,0.22
63436,2020-01-01,IPCA peso mensal,6201002.Médico,-0.31
63437,2020-01-01,IPCA peso mensal,6201003.Dentista,0.78
63438,2020-01-01,IPCA peso mensal,6201005.Aparelho ortodôntico,0.72
63439,2020-01-01,IPCA peso mensal,6201007.Fisioterapeuta,3.29
63440,2020-01-01,IPCA peso mensal,6201010.Psicólogo,0.06
63441,2020-01-01,IPCA peso mensal,6202.Serviços laboratoriais e hospitalares,0.4
63442,2020-01-01,IPCA peso mensal,6202003.Exame de laboratório,0.4
63443,2020-01-01,IPCA peso mensal,6202004.Hospitalização e cirurgia,0.51
63444,2020-01-01,IPCA peso mensal,6202006.Exame de imagem,0.12
63445,2020-01-01,IPCA peso mensal,6203.Plano de saúde,0.6
63446,2020-01-01,IPCA peso mensal,6203001.Plano de saúde,0.6
63447,2020-01-01,IPCA peso mensal,63.Cuidados pessoais,-2.07
63448,2020-01-01,IPCA peso mensal,6301.Higiene pessoal,-2.07
63449,2020-01-01,IPCA peso mensal,6301001.Produto para cabelo,-0.23
63450,2020-01-01,IPCA peso mensal,6301002.Fralda descartável,0.67
63451,2020-01-01,IPCA peso mensal,6301004.Produto para barba,-0.72
63452,2020-01-01,IPCA peso mensal,6301006.Produto para pele,-6.51
